         juegos exitosos con mas usuarios ;
juego;numero de usuarios (en millones)
PUBG;1037
Minecraft;600
Pac-man;505
Among us;500
Tetris;500
Fornite;350
League of Legends;101
Call of Duty: Warzone;100
World of Warcraft;100
;
;
;
;
;
;
;
;
;
;
;
;
;
;
